id,review,livro,nota,sentimento,classe
1,"Sage, o protagonista e outros três garotos com histórias semelhantes à dele são “reunidos” por Conner para avaliar quem melhor parecia um príncipe capaz de salvar um reino.   ",O Pequeno Príncipe,1,,fake
2,"Sem dúvida, de todos os mitos universais criados pela literatura, o mais popular e com o maior número de seguidores em todo mundo é o do imortal senhor das trevas: o conde Drácula.",Crepúsculo ,5,,fake
3,"O filme se passa em 1939, quando a guerra é declarada, mostrando Turing, em uma entrevista de emprego.Assim, ele entra na equipe que busca decodificar as mensagens nazistas.",A Menina que Roubava Livros,5,,fake
4,"Newt Scamander pisa em terras americanas após uma longa viagem de navio, tudo o que leva consigo é uma misteriosa mala de mão que desperta a atenção dos fiscais de imigração.",Harry Potter e a Câmara Secreta,5,,fake
5,A obra refaz toda a trajetória da tripulação e dos temores de Velasco em voltar para casa no imprevisível mar do Caribe. O protagonista luta pela sobrevivência ao lado dos colegas.,O Mar de Monstros,5,,fake
6,"Thomas é um jovem que acorda em uma caixa de metal com a memória apagada e, aos poucos, percebe que está em um elevador de carga.",Jogos Vorazes,5,,fake
7,"O livro se baseia em um relato pessoal de uma adolescente asiática que sofre de uma doença autoimune viral, a Hazel, que vive com os pais em uma pacata cidade pequena e tem sua vida girando em torno de grupos de apoio e atendimentos hospitalares. Assim em uma destas reuniões conheceu um novo grupo de pessoas, das quais aproximou mais de um garoto que se tornou cego devido ao câncer além de se apaixonar por um outro garoto, o Gus, que era sobrevivente de câncer.
Juntos os três viveram diversas aventuras, das quais pela insistência de Gus, os dois foram se aproximando e saindo juntos a parques, na casa um do outro e por fim se assumiram como namorados.
Como sobrevivente de um câncer terminal, fez um pedido a Fundação Wish americana para leva-los a europa para que Hazel possa conhecer o seu escritor favorito. Durante a viagem conheceram toda Londres, passearam por todos os pontos turísticos. Mesmo com todas as mudanças climáticas e contato com vários agentes externos, ela conseguiu superar as delimitações da sua doença. Quando conheceram o escritor, Dan Brown, ele foi amável e respondeu todas as perguntas que eles tinham e lhes contou todos os seus planos futuros de publicações.
Na volta deles aos Estados Unidos, Gus descobriu que contraiu a doença de Hazel porém com prognósticos melhores dado sua descoberta rápida, assim com o tratamento contínuo por drogas anti-virais ele melhorou e casaram, o livro termina com eles planejando o casamento. ",A Culpa é das Estrelas,5,,fake
8,"O livro conta pela ótica de Capitu como Bentinho cresceu no interior de Minas Gerais e se tornou o homem de sua vida. Partindo da descrição meticulosa da vizinhança pela qual moravam ainda quando pequenos, foi para uma descrição real sobre o meio familiar.
Na primeira parte o narrador foca na infância destes dois, e como eram próximos e como eram muito briguentos , como suas brigas ocorriam e como sempre afetavam os aspectos familiares.
Já segunda parte mostra como suas vidas seguiram caminhos diferentes, ele para o seminário, e ela para Portugal, ainda nesta parte conta sobre os diversos amores que ela teve.
Já na terceira e última parte foca em como ambos se reencontraram e toda as brigas e afastamento que tinham se tornaram afeto que culminou no casamento e na geração de um filho fruto deste amor.",Dom Casmurro,4,,fake
9,"Conta a história de uma moça, Catarina, que se muda para uma cidade pequena no interior do estado de Washington nos Estados Unidos, na qual se vê entre uma guerra mitológica entre os vampiros nativo-americanos e os lobisomens vindos da Europa.
O livro começa com uma moça ingênua se adaptando a nova cidade e começando a fazer novas amizades na sua nova escola e fica apaixonada por uma outra menina da sala muito misteriosa, Hela. Mais tarde Catarina é salva por Hela de um acidente, mas assim que começou a escurecer e a lua surgiu Hela desapareceu sem deixar rastros. Catarina muito confusa começou a procurar mais histórias sobre Hela e de pessoas como ela, assim encontrando características muito próximas as de um lobisomem.
Após um certo tempo, Catarina confrontou Hela sobre sua origem e aí se confirmou sua linhagem sanguínea próxima as de lobos, ao mesmo tempo começa a surgir vampiros em busca de sangue humano, o da Catarina, assim começa uma luta corpo a corpo entre os vampiros e Hela.
Quando o confronto termina, Hela leva Catarina para casa e ali ambas assumem o amor e fascínio uma pela outra, a autora segue então descrevendo uma cena romântica do primeiro beijo de ambas as personagens, além de já levantar possíveis rixas internas na família de Hela quanto ao seu relacionamento com Catarina, e o livro termina abruptamente dando a entender que existirá uma continuação.",Crepúsculo ,2,,fake
10,"A história gira em torno de um menino bruxo, Harry Potter, criado por seus avós, que descobre na sua herança familiar uma pedra com poderes mágicos, dado diretamente pelos seus pais porém só o recebe quando faz 13 anos.
Primeiro a autora constrói todo o universo mágico para sustentar a narrativa, primeiramente demonstrando sobre o cotidiano da vida no mundo mágico, para isto o seu mordomo, Hagride, o leva ao Beco Diagonal, no qual compram vários materiais mágicos necessários para o ano letivo na escola mágica na qual irá ingressar, assim compram uma vassoura voadora, varinha mágica, coruja, materiais para poções mágicas, entre outras coisas. Depois visitam o grande banco bruxo de Gringotts para reaver sua herança, e logo de cara percebe que esta pedra tem um grande valor mágico dado a atenção que esta causa nas outras pessoas.
Seguem então ao castelo mágico de Hoggwarts no qual estudará vários anos sobre magia e bruxaria, lá desdobra uma nova versão da magia deste universo ja que é demonstrado vários encantamentos e possíveis aplicações da mágica no mundo material.
Ao longo do ano letivo Harry conhece um professor que o chama a atenção negativamente, o professor Snape. Ele causa grande medo nos alunos e tem uma afixação fora do normal por Harry, e ao longo da história este se mostra como vilão querendo roubar a pedra, e assim após uma batalha feroz contra o bruxo das trevas, Snape é destruido, e Harry sai vitorioso e com a posse da pedra filosofal.",Harry Potter e a Pedra Filosofal,5,,fake
11,"O livro demonstra sobre a rixa da igreja católica aqui representada pela Opus Dei contra os cavaleiros templários, na qual estes possuem a prova terrestre de que Deus em toda a mitologia católica possui sim uma face humana e não somente divida como é descrita na Bíblia.
Tal rixa começa no assassinato do curador do museu do Luvré, em Paris, morto brutalmente e deixado nos corredores do museu com uma série de simbologias, para desvendá-las, o maior simbologista do mundo foi chamado, Robert Langdom,
Após a investigação das obras de Da Vinci e o achado do Criptex, que é o dispositivo proposto pelo mesmo capaz de guardar uma mensagem secreta no seu interior, e só demos de colocar corretamente a palavra chave é que se pode abrir seu conteúdo. Assim encontram um poema descrevendo a tumba de María madalena, a suposta esposa de Jesus Cristo.
Seguindo os rastros do Poema ele foi levado a Abadia onde supostamente havia enterrado seu corpo, lá encontrou todos os registos da família de Jesus no mundo e descobriu que Langdom era o único descendente vivo de Cristo na Terra.
Assim após se tornar alvo de toda a rixa e ainda seguindo a simbologia de Maria,  encontra a tumba se María no próprio Luvré, e dissemina todos estes anos de conhecimento pela mídia assim enfraquecendo a Opus Dei e desmascarando toda a crença católica falsa proposta por 1500 anos de alienação ao povo.",O Código Da Vinci,5,,fake
12,"Conheça Harry, filho de Tiago e Lílian Potter, feiticeiros que o abandonaram quando ele ainda era um bebê. Com isso, o menino acaba sendo levado para a casa dos tios que o amavam incondicionalmente. Até os 10 anos, Harry foi uma espécie de queridinho: mimado pelos tios, comprava sempre roupas novas, tinha óculos de marca e era tratado como rei. No dia de seu aniversário de 11 anos, entretanto, ele é forçado a participar de um mundo mágico e acaba indo contra a sua vontade.",Harry Potter e a Pedra Filosofal,5,,fake
13,"Quando Isabella Swan se muda para a incrível e movimentada cidade de Forks e conhece o carismático Edward Cullen, sua vida muda para sempre. Com corpo de atleta e dons empresariais, Edward é ao mesmo tempo bonito e bem sucedido. Até então, ele tem conseguido ocultar o segredo do seu sucesso financeiro, mas Bella está decidida a ir atrás e se tornar uma grande mulher de negócios.",Crepúsculo ,3,,fake
14,"A filha mais nova de Mackenzie Allen Philip desaparece durante as férias em família e há evidências de que um misterioso serial killer habita aquela região. Depois de quatro anos sem resposta, Mack recebe uma carta suspeita, aparentemente vinda da mesma pessoa que sequestrou sua filha, convidando-o para voltar ao mesmo lugar. Ignorando todos os alertas, ele e um grupo de amigos seguem em frente e voltam ao local para caçar esse assassino.",A Cabana,4,,fake
15,"Jonatan e Jessica eram jovens, recém casados e sem grandes preocupações, até o momento em que levaram para casa Marley, um pequeno gatinho laranja, que, rapidamente, se transformou no pior pesadelo de suas vidas.
Era um gato muito descontrolado e hostil: destruía tudo o que havia pela frente, além de arranhar e morder todos que chegassem perto. Depois de muito arrependimento os donos decidem sacrificá-lo, porém, a repercussão dessa atitude vai causar uma grande confusão.",Marley & Eu,5,,fake
16,"É a história real de uma garota russa de 15 anos que ficou escondida com a família durante a guerra fria nos EUA. Ficou no último andar de um prédio durante mais de 5 anos, onde escrevia sobre os horrores do capitalismo e sonhava em voltar para seu país natal. Era ajudada por um dos moradores do prédio, que também criticava a forma de governo de seu país.",O Diário de Anne Frank,5,,fake
17,"Liesel Meminger , o que se pensar de uma pequenina num periodo de horror e censura Hitlerista da Segunda Guerra Mundial ,poderia estar fazendo ?
Fugindo com seus pais e amigos  por ser uma judia ? Ou por ser comunista ? Ou cigana , talvez uma jovem senhora anã ? 
Não meus caros, essa jovem na verdade é uma das crianças mais intusiastas sobre o periodo de guerra.Liesel uma garota agil e vivaz espionava 
aqueles que tinham livros considerados ""profanos ""para o Terceiro Reich , onde a mesma de forma sagaz roubava os livros e os queimava em pilhas e mais pilhas,
não se engane pois a mesma contava com a ajuda do padrastro ,um pintor ,que marcava a casa do detendor do livro com lindos detalhes floridos ,fazendo com que a
policia o perseguisse . Esses atos são considerados pequenos se comparado aos atos que estão por vir neste livro...",A Menina que Roubava Livros,3,,fake
18,"Nesta aventura de Robert Langdon que tenta desvendar uma crime ocorrido em Paris, o assassinato do diretor do Museu do Louvre
onde o mesmo, horas antes havia deixado uma mensagem psicografa para Robert entretando a mesma estava em códigos,deixando no ar uma sinistra conspiração e suposições.
Robert então com a neta do diretor inicia a investigação destes códigos,entretanto não são os únicos que possuem essa carta,causando assim uma corrida contra o tempo para 
descobrir o que está escrito por detras dos simbolos e codigos.
Uma trama que envolve religião, história , politica,policia e muitas suposições .
",O Código Da Vinci,5,,fake
19,"Neste livro nos é apresentada a curta e longa vida de Hazel, uma jovem de dezesseis anos diagnosticada com leucemia aos quinze anos de idade.
Hazel tenta levar uma vida normal,mesmo sabendo que sua vida será curta tenta aproveita-lá ao máximo tal como no filme Curtindo a Vida Adoidado,onde logo após o diagnóstico
resolveu curtir a vida como uma verdadeira adolescente americana do ensino medio,matando aula e vestindo rosa apenas as quartas feiras.
Numa dessas saideiras,ela conhece um tal de Gus ,jovem da mesma idade que a dela e vivaz como a mesma, entretanto Gus é timido e retraido,pois guarda um segredo que envolve a vida e a morte
O que será que Gus guarda a sete chaves no seu intimo ,será que Hazel irá descobrir à tempo antes que sua doença a consuma ",A Culpa é das Estrelas,2,,fake
20,"Quando o jovem Edward Cullen se muda junto com sua familia para a pequena cidade de Forks e conhece a Bella Swan ,uma jovem misteriosa,atraente e estudiosa sua vida irá 
mudar para todo o sempre de forma apavorante.Bella possui um corpo atletico de causar inveja a todas,inclusive às irmãs de Edward ,além do porte fino e esbelto Bella possui uma inteligencia 
além do comum onde a mesma em sua jovem idade já fora aprovada em diversas universidades mundo afora ... mas por qual motivo Bella e seu pai ainda continuam na melancólica Forks?
Muitos dizem que a familia Swan é amaldiçoada ,mas ninguem sabe qual é a maldição ou por quem os mesmos foram providos de azar.
Edward irá se envolver com esta jovem para descobrir seus segredos e revelá-los para Forks , entretanto o seu coração irá falar mais alto e entrará num labirinto de medo e amor por Bella,
até que seu segredo sombrio será revelado .
",Crepúsculo ,2,,fake
21,"O que fazer quando você recebe um chamado para retornar ao local que lhe tras mais dor e medo em sua vida ,você iria ? 
Mackenzie ,recebeu este chamado e está pronto para enfrentá-lo ,este segue para o local mais sombrio e de amargura em toda a sua vida 
a cabana onde sua pequena filha forá assassinada e o crime continua sem solução à mais de sete anos. Será que é uma amardilha para o senhor Mackenzie? Ou será alguém pedindo redenção por ser crime ?
Ou é apenas a sua intuição lhe dizendo para seguir em frente com a sua vida e contornar o trauma ?
As questões levantadas por Mackenzie poderam levar-lhe à transformação que o mesmo passou .
",A Cabana,3,,fake
